time,Аларский,Балаганский,Баяндаевский,Бодайбинский,Боханский,Братск,Братский,Жигаловский,Заларинский,Зиминский,Иркутск,Иркутский,Казачинско-Ленский,Катангский,Качугский,Киренский,Куйтунский,Мамско-Чуйский,Нижнеилимский,Нижнеудинский,Нукутский,Ольхонский,Осинский,Слюдянский,Тайшетский,Тулунский,Усольский,Усть-Илимск,Усть-Илимский,Усть-Кутский,Усть-Удинский,Черемховский,Чунский,Шелеховский,Эхирит-Булагатский
2004-01,-23.772268,-25.412947,-23.684399,-32.716236,-20.824106,-27.043486,-27.870098,-24.372925,-27.497965,-26.399656,-20.553102,-21.99559,-26.460192,-35.65921,-25.045248,-33.441345,-26.699219,-31.27587,-30.239616,-29.30356,-23.032017,-27.71154,-21.296825,-19.794817,-28.342478,-28.244211,-22.401571,-32.22365,-32.779976,-31.178877,-26.228964,-25.112785,-29.175734,-21.827587,-23.122435
2004-02,-15.172204,-15.765764,-15.429131,-23.139246,-15.844977,-18.737028,-18.228796,-16.099646,-15.347301,-15.109563,-15.020289,-16.042141,-18.292156,-24.857353,-16.661547,-20.800104,-16.808975,-21.34076,-18.778688,-21.720484,-16.254944,-15.513105,-14.856252,-14.104277,-18.870283,-18.208652,-14.7627325,-18.342905,-19.031462,-19.514202,-15.775004,-14.953098,-18.751465,-15.655357,-16.739573
2004-03,-23.629992,-27.116,-22.499216,-24.339493,-22.63971,-31.970642,-31.716488,-26.75656,-22.311047,-25.514263,-19.283457,-19.941067,-25.707623,-32.614506,-25.763834,-29.74335,-28.14524,-27.063934,-31.091911,-27.852352,-24.097914,-24.446987,-23.033707,-17.446648,-30.661823,-26.460361,-19.568745,-32.99777,-33.469128,-30.104565,-27.224863,-20.282463,-31.987991,-19.770132,-22.395605
2004-04,-0.7225733,-1.8611205,-3.0883572,-5.6160703,-0.76958984,-6.0520153,-5.80117,-4.3619976,-0.7107407,-1.8648056,0.8887634,-2.876595,-6.684044,-9.001308,-5.2890463,-6.317522,-2.3833454,-6.334028,-5.9857616,-3.2859752,-0.59053767,-5.8340073,0.48397812,0.46789974,-6.597016,-2.3939865,1.6030807,-6.3907514,-7.4207234,-6.938769,-3.0426078,0.5751571,-8.521089,1.2260851,-2.4862516
2004-05,6.113046,7.302513,0.99605924,2.7337503,4.973205,8.017517,8.626666,3.7066038,6.986674,7.898724,4.5570054,0.16423486,3.2040594,4.4854484,1.5668706,2.910894,8.609818,1.7158692,5.905375,9.224314,6.32989,-1.6299803,5.1269245,0.5658613,13.2943735,8.7935,5.9902854,6.149639,6.440949,2.9726954,6.4723616,5.7478075,12.136064,4.629063,1.4706465
2004-06,16.482962,17.178001,10.274957,14.285836,15.996955,17.201239,17.631006,13.866079,15.471385,17.010733,14.792172,11.232204,16.150906,16.919456,13.153458,15.464941,17.532568,14.376767,17.56975,15.338446,16.806648,8.713213,16.405367,12.236536,20.412676,16.924154,14.827262,19.051702,18.506779,16.863487,16.507198,14.450691,20.170664,14.349185,12.851433
2004-07,29.568815,28.095705,27.303005,17.168829,28.522156,21.91015,22.58436,26.252085,28.207926,29.963028,26.307474,24.33474,22.895008,18.330118,26.222464,21.16685,28.724527,19.62919,21.496548,25.191265,29.79287,19.874794,29.275303,22.28694,24.093758,27.910479,27.032654,21.647024,21.343407,21.887014,26.18703,26.7428,22.193493,26.807673,27.53657
2004-08,21.35466,21.111294,21.050915,8.830671,21.185413,20.75474,20.28626,18.70669,19.219147,20.932423,20.596804,20.408361,15.80451,10.732604,18.51686,12.292787,21.291885,11.025168,17.647411,17.650997,22.13596,18.971827,21.182467,18.264948,20.399782,19.965614,19.125423,15.260657,15.530868,15.989074,19.9911,18.312227,19.521973,19.690502,20.712042
2004-09,3.2168653,2.5822034,-1.2929012,10.472273,0.6398233,1.2296867,1.6940432,0.89370584,3.7956727,4.487878,-0.28740692,-1.8520375,5.300058,7.519712,-0.79684746,7.9983835,3.5454295,9.678435,1.7504119,0.3892014,2.8872797,-1.9030093,1.4801048,-1.1760137,1.7853551,3.7045965,1.4529997,0.3241539,0.43606532,2.2006295,2.242641,3.0807514,1.321674,0.055016834,-1.1383877
2004-10,1.1421623,1.2741468,2.202413,-11.227545,1.0998849,-0.5005557,-0.38786358,-1.0313716,-0.44990197,1.5718763,3.5517719,2.5161483,-4.2856445,-10.632374,-0.32917917,-7.386669,1.1592574,-7.4764967,-4.7402754,-1.4863845,1.9959663,2.7128232,2.4007926,3.2696745,2.1306903,1.227544,1.8404729,-5.5841255,-5.0460005,-5.2832255,-0.6186903,-0.08140778,0.1531221,2.5212214,2.3409057
