address,agr_type,Calculate,id,name,region,sameness,sameness_group,source,type,counter,lat,lon,original_address,points,reffers_to,category
"Байкальская ул., 236",Культурно-познавательный туризм,Культурно-познавательный,140,Бэста,Иркутск,0,1,все_yandex_отфильровано_обединено_нормировано_25_03_2024.csv,зооцентр;клуб любителей животных;гостиница для животных,1,52.253408,104.327605,1,Point,,Другое
"ул. Урицкого, 14",Культурно-познавательный туризм,Культурно-познавательный,145,Иркутский городской клуб любителей кошек Камея,Иркутск,0,1,все_yandex_отфильровано_обединено_нормировано_25_03_2024.csv,зооцентр;клуб любителей животных,1,52.283538,104.291531,1,Point,,Другое
"Иркутская область, Слюдянский район, рабочий посёлок Култук, Р-258 Байкал, 97-й километр",Культурно-познавательный туризм,Культурно-познавательный,556,Смотровая площадка,Слюдянский,0,1,все_yandex_отфильровано_обединено_нормировано_25_03_2024.csv,смотровая площадка,1,51.732038,103.711048,1,Point,,Другое
"Иркутская область, Слюдянский район, Байкальское муниципальное образование, Байкальск",Культурно-познавательный туризм,Культурно-познавательный,557,Смотровая площадка,Слюдянский,0,1,все_yandex_отфильровано_обединено_нормировано_25_03_2024.csv,смотровая площадка,1,51.526638,104.133163,1,Point,,Другое
"Иркутский район, Листвянское муниципальное образование, рабочий посёлок Листвянка",Культурно-познавательный туризм,Культурно-познавательный,558,Смотровая площадка,Иркутский,0,1,все_yandex_отфильровано_обединено_нормировано_25_03_2024.csv,смотровая площадка,1,51.861237,104.852909,1,Point,,Другое
"Иркутский район, Листвянское муниципальное образование, рабочий посёлок Листвянка",Культурно-познавательный туризм,Культурно-познавательный,559,Смотровая площадка,Иркутский,0,1,все_yandex_отфильровано_обединено_нормировано_25_03_2024.csv,смотровая площадка,1,51.841356,104.885252,1,Point,,Другое
"Иркутский район, Листвянское муниципальное образование",Культурно-познавательный туризм,Культурно-познавательный,560,Смотровая площадка,Иркутский,0,1,все_yandex_отфильровано_обединено_нормировано_25_03_2024.csv,смотровая площадка,1,51.90791,105.077333,1,Point,,Другое
"Иркутская область, Ольхонский район",Культурно-познавательный туризм,Культурно-познавательный,561,Смотровая площадка,Ольхонский,0,1,все_yandex_отфильровано_обединено_нормировано_25_03_2024.csv,смотровая площадка,1,53.153462,106.95805,1,Point,,Другое
"Иркутск, предместье Глазково",Культурно-познавательный туризм,Культурно-познавательный,562,Глазково,Иркутск,0,1,все_yandex_отфильровано_обединено_нормировано_25_03_2024.csv,смотровая площадка,1,52.275198,104.262614,1,Point,,Другое
"Иркутская область, Ангарск",Культурно-познавательный туризм,Культурно-познавательный,563,Смотровая площадка,Ангарский,0,1,все_yandex_отфильровано_обединено_нормировано_25_03_2024.csv,смотровая площадка,1,52.537396,103.859786,1,Point,,Другое
